group,stage,target_count,n,mot_dprime_mean,drt_hit_rate_mean,drt_logrt_mean,G_lite_mean,pi_MOT_lite_mean
athlete,exercise1,1,21,3.4926788066299275,0.9761904761904762,6.396854533307318,0.15102145557143243,0.20595759685789372
athlete,exercise1,2,21,3.1509787050243783,0.9821428571428571,6.386128943688443,0.17855240450639642,-0.13890444836453794
athlete,exercise1,3,21,2.731310205447033,0.9761904761904762,6.404657958721391,0.32568315591272357,0.1286750480682477
athlete,exercise1,4,21,2.255316195180672,0.9821428571428571,6.461495458727473,0.35251929466406834,0.4506919617143594
athlete,exercise1,5,21,1.298381038257542,0.9761904761904762,6.431853126548987,0.4065274411285077,0.06852782510527249
athlete,exercise2,1,21,3.376123496936507,0.9345238095238095,6.349133438014498,-0.089687178928758,-0.11091164671435148
athlete,exercise2,2,21,3.2793715957662775,0.9642857142857143,6.362231625795299,0.2645625070636563,0.0361916346886392
athlete,exercise2,3,21,2.7423309470876127,0.9345238095238095,6.379056325560105,0.27721184024369944,0.2497341834819608
athlete,exercise2,4,21,2.1912711113511443,0.9702380952380952,6.364883920527028,0.4774391270968002,0.060445750171759585
athlete,exercise2,5,21,1.4243527747730702,0.9642857142857143,6.42584834488371,0.47798244094985387,0.2641980747092526
athlete,rest,1,21,3.376123496936507,0.9821428571428571,6.321978010022292,0.09888174033944999,-0.4880494852507674
athlete,rest,2,21,3.254586987520263,0.9345238095238095,6.360993628792029,0.1799952049501494,0.13831987144207122
athlete,rest,3,21,2.5538109375436306,0.9345238095238095,6.407593005539489,0.12478986705401103,0.1420429551167361
athlete,rest,4,21,1.8184950781869471,0.8928571428571429,6.4135175478239095,0.022507271743772133,0.15306959840995013
athlete,rest,5,21,0.9321957851625012,0.9047619047619048,6.446514708095494,-0.007261721150492443,-0.08810743421545489
nonathlete_high_hr,exercise1,1,23,3.333048708571547,0.9456521739130435,6.376133810853914,-0.1771553772541839,-0.23099417862294835
nonathlete_high_hr,exercise1,2,23,2.935722348478451,0.9565217391304348,6.453880232606211,-0.14396374495435135,-0.075827949775693
nonathlete_high_hr,exercise1,3,23,2.3170467204456675,0.9619565217391305,6.4434125197114325,-0.0016086388977789477,-0.12326719789041692
nonathlete_high_hr,exercise1,4,23,1.6177177036852708,0.9619565217391305,6.431089697846103,0.01989442547798676,-0.28187054410865103
nonathlete_high_hr,exercise1,5,23,1.0833166492259938,0.9293478260869565,6.506901586119982,0.03765391980383971,0.22823604367751835
nonathlete_high_hr,exercise2,1,23,3.492678806629928,0.9728260869565217,6.358805739123846,0.20695224732656503,0.09409601334762847
nonathlete_high_hr,exercise2,2,23,3.0506210036737516,0.9239130434782609,6.363257874952739,0.01329476640939249,-0.07971099209824027
nonathlete_high_hr,exercise2,3,23,2.2975616131466867,0.875,6.406835461694969,-0.15511573318790184,0.14110805722092787
nonathlete_high_hr,exercise2,4,23,1.6223167507063545,0.9293478260869565,6.394257642593499,0.026163161426280244,-0.2843254886413119
nonathlete_high_hr,exercise2,5,23,1.1737292078062516,0.907608695652174,6.442934030699041,0.16695556560198455,0.21263890144362624
nonathlete_high_hr,rest,1,23,3.492678806629928,0.9565217391304348,6.322415270323577,0.22155433310469966,0.06489184179135928
nonathlete_high_hr,rest,2,23,2.9456358969947165,0.9565217391304348,6.373203558140943,0.0018304733623779503,-0.3406146363772592
nonathlete_high_hr,rest,3,23,2.3313974185075006,0.9510869565217391,6.407911107193443,0.0418069362992149,-0.17869495642713823
