BELT指标,问卷指标,n,Spearman_rho,原始p,标注
兑现率,loneliness_mean,66,0.29063574319767654,0.017914923347897283,显著
爆炸率,loneliness_mean,66,-0.29063574319767654,0.017914923347897283,显著
平均trial时长(ms),big5_extraversion,66,0.26998176309285055,0.02835632273619634,显著
平均充气次数,big5_agreeableness,66,0.23708074222195996,0.05527912077857233,趋势
总得分,grit_total,66,-0.2308329684032585,0.062218536971413066,趋势
平均充气次数,loneliness_mean,66,-0.21169997404566468,0.08793406521366998,趋势
平均trial时长(ms),big5_agreeableness,66,0.20558462343150513,0.09772040332390552,趋势
平均trial时长(ms),big5_emotional_stability,66,-0.20454886759881352,0.09945895610415349,趋势
爆炸率,dassy_total,66,-0.1881873821862441,0.13023244593048988,不显著
兑现率,dassy_total,66,0.1881873821862441,0.13023244593048988,不显著
平均充气次数,big5_extraversion,66,0.18728830256648332,0.1321119971535226,不显著
爆炸率,life_satisfaction_mean,66,0.18293563389630813,0.14150254942829205,不显著
兑现率,life_satisfaction_mean,66,-0.18293563389630813,0.14150254942829205,不显著
总得分,dassy_total,66,0.16391570070351383,0.1884664876332719,不显著
总得分,big5_agreeableness,66,0.15934692480858997,0.20125300610646135,不显著
兑现率,big5_extraversion,66,-0.1563821210540753,0.2098741726861414,不显著
爆炸率,big5_extraversion,66,0.1563821210540753,0.2098741726861414,不显著
总得分,big5_extraversion,66,0.15591117815583028,0.21126726231368922,不显著
兑现率,big5_openness,66,-0.1515017573641998,0.22462805166623254,不显著
爆炸率,big5_openness,66,0.1515017573641998,0.22462805166623254,不显著
平均充气次数,grit_total,66,-0.1413342453437459,0.25765140483736226,不显著
总得分,big5_emotional_stability,66,-0.13128383853180517,0.29338139273804115,不显著
平均充气次数,big5_openness,66,0.1218983566410942,0.329546498184167,不显著
平均充气次数,big5_emotional_stability,66,-0.1196156892013368,0.3387511490733174,不显著
平均trial时长(ms),resilience_total,66,-0.11860996618030421,0.3428572614851674,不显著
总得分,life_satisfaction_mean,66,-0.10795909460290928,0.3882299670126701,不显著
平均trial时长(ms),loneliness_mean,66,-0.1029602509100258,0.41070092892889376,不显著
平均trial时长(ms),life_satisfaction_mean,66,-0.1014021455122293,0.41785613256773874,不显著
总得分,resilience_total,66,-0.09833888278341431,0.4321304935112475,不显著
兑现率,resilience_total,66,-0.09751231634522743,0.4360288760928785,不显著
爆炸率,resilience_total,66,0.09751231634522743,0.4360288760928785,不显著
兑现率,big5_agreeableness,66,-0.09097571231404286,0.46754629436970724,不显著
爆炸率,big5_agreeableness,66,0.09097571231404286,0.46754629436970724,不显著
爆炸率,big5_conscientiousness,66,-0.08975012034156099,0.47358988200025864,不显著
兑现率,big5_conscientiousness,66,0.08975012034156099,0.47358988200025864,不显著
兑现率,big5_emotional_stability,66,0.08218764133522392,0.5117923401497351,不显著
爆炸率,big5_emotional_stability,66,-0.08218764133522392,0.5117923401497351,不显著
平均充气次数,big5_conscientiousness,66,-0.06632595063995568,0.5967204887761707,不显著
平均trial时长(ms),grit_total,66,-0.06607967230428691,0.5980870332240072,不显著
平均充气次数,life_satisfaction_mean,66,0.06001580651843135,0.6321614880522812,不显著
平均trial时长(ms),big5_openness,66,-0.05561009725847477,0.6574113116392917,不显著
总得分,loneliness_mean,66,-0.05373500163349683,0.668276846099604,不显著
平均trial时长(ms),big5_conscientiousness,66,0.05030134884216552,0.6883492689831836,不显著
平均充气次数,resilience_total,66,0.04005124685292393,0.7495072696751893,不显著
平均充气次数,dassy_total,66,-0.037917300671176234,0.7624503008089778,不显著
平均trial时长(ms),dassy_total,66,-0.0261069327147297,0.8351690383984983,不显著
总得分,big5_conscientiousness,66,0.019065999078444695,0.8792285844098151,不显著
总得分,big5_openness,66,-0.011966727065427698,0.9240256939826418,不显著
兑现率,grit_total,66,0.006622657793868985,0.9579109451484452,不显著
爆炸率,grit_total,66,-0.006622657793868985,0.9579109451484452,不显著
