条件,指标,组别A,组别B,nA,nB,均值A,均值B,MW_U,原始p,p原因,Cliffs_delta,标注
,平均充气次数,运动员,非运动员高心率,24,22,9.094827586206895,9.275862068965516,247.0,0.7167033766689762,,-0.06439393939393939,不显著
,平均充气次数,运动员,非运动员低心率,24,22,9.094827586206895,9.221003134796238,281.5,0.7085139613846891,,0.06628787878787878,不显著
,平均充气次数,非运动员高心率,非运动员低心率,22,22,9.275862068965516,9.221003134796238,256.5,0.7424366180872178,,0.05991735537190083,不显著
,爆炸率,运动员,非运动员高心率,24,22,0.1903735632183908,0.2147335423197492,218.0,0.3151598021994243,,-0.17424242424242425,不显著
,爆炸率,运动员,非运动员低心率,24,22,0.1903735632183908,0.19984326018808776,248.0,0.7323139238017805,,-0.06060606060606061,不显著
,爆炸率,非运动员高心率,非运动员低心率,22,22,0.2147335423197492,0.19984326018808776,268.5,0.5400098029390619,,0.10950413223140495,不显著
,兑现率,运动员,非运动员高心率,24,22,0.8096264367816092,0.7852664576802507,310.0,0.3151598021994243,,0.17424242424242425,不显著
,兑现率,运动员,非运动员低心率,24,22,0.8096264367816092,0.800156739811912,280.0,0.7323139238017805,,0.06060606060606061,不显著
,兑现率,非运动员高心率,非运动员低心率,22,22,0.7852664576802507,0.800156739811912,215.5,0.5400098029390619,,-0.10950413223140495,不显著
,总得分,运动员,非运动员高心率,24,22,399.9166666666667,398.90909090909093,277.5,0.7749239088304646,,0.05113636363636364,不显著
,总得分,运动员,非运动员低心率,24,22,399.9166666666667,411.6363636363636,219.5,0.3331454304577295,,-0.16856060606060605,不显著
,总得分,非运动员高心率,非运动员低心率,22,22,398.90909090909093,411.6363636363636,211.0,0.4739346969458095,,-0.128099173553719,不显著
,平均trial时长(ms),运动员,非运动员高心率,24,22,5913.977011494254,5749.327586206897,301.0,0.42218626302912543,,0.14015151515151514,不显著
,平均trial时长(ms),运动员,非运动员低心率,24,22,5913.977011494254,5689.433385579937,312.0,0.29622821715201164,,0.18181818181818182,不显著
,平均trial时长(ms),非运动员高心率,非运动员低心率,22,22,5749.327586206897,5689.433385579937,246.0,0.9345217975376027,,0.01652892561983471,不显著
