条件,指标,组别A,组别B,nA,nB,均值A,均值B,MW_U,原始p,p原因,Cliffs_delta,标注
,正确率,运动员,非运动员高心率,24,23,0.6853174603174604,0.6894927536231883,285.5,0.8468300770203346,,0.034420289855072464,不显著
,正确率,运动员,非运动员低心率,24,22,0.6853174603174604,0.7259740259740259,203.0,0.17875215349712037,,-0.23106060606060605,不显著
,正确率,非运动员高心率,非运动员低心率,23,22,0.6894927536231883,0.7259740259740259,168.5,0.05322965381564909,,-0.3339920948616601,趋势
,最大正确序列长度,运动员,非运动员高心率,24,23,5.291666666666667,6.3478260869565215,131.5,0.001417270807736113,,-0.5235507246376812,显著
,最大正确序列长度,运动员,非运动员低心率,24,22,5.291666666666667,5.636363636363637,220.0,0.3224582691882787,,-0.16666666666666666,不显著
,最大正确序列长度,非运动员高心率,非运动员低心率,23,22,6.3478260869565215,5.636363636363637,342.0,0.03599965041545604,,0.35177865612648224,显著
,平均首次点击RT(ms),运动员,非运动员高心率,24,23,1049.8147817460317,1071.7224378881988,254.0,0.6472754956287547,,-0.07971014492753623,不显著
,平均首次点击RT(ms),运动员,非运动员低心率,24,22,1049.8147817460317,1046.821699134199,250.0,0.7665698373224277,,-0.05303030303030303,不显著
,平均首次点击RT(ms),非运动员高心率,非运动员低心率,23,22,1071.7224378881988,1046.821699134199,249.0,0.9366586063488966,,-0.015810276679841896,不显著
,平均反应时长(ms),运动员,非运动员高心率,24,23,2929.891914682539,3216.461024844721,213.0,0.18348917031903877,,-0.22826086956521738,不显著
,平均反应时长(ms),运动员,非运动员低心率,24,22,2929.891914682539,2856.0732683982683,254.0,0.8345225873151004,,-0.03787878787878788,不显著
,平均反应时长(ms),非运动员高心率,非运动员低心率,23,22,3216.461024844721,2856.0732683982683,316.0,0.1558665625234209,,0.2490118577075099,不显著
