条件,指标,组别A,组别B,nA,nB,均值A,均值B,MW_U,原始p,p原因,Cliffs_delta,标注
,正确率,运动员,非运动员高心率,24,23,0.9791087962962962,0.9782608695652175,291.5,0.7365805757546173,,0.05615942028985507,不显著
,正确率,运动员,非运动员低心率,24,22,0.9791087962962962,0.9734244036105738,294.0,0.4968278072800474,,0.11363636363636363,不显著
,正确率,非运动员高心率,非运动员低心率,23,22,0.9782608695652175,0.9734244036105738,267.5,0.7392807200391761,,0.05731225296442688,不显著
,总体正确RT(ms),运动员,非运动员高心率,24,23,475.8554998942311,459.0852146987713,315.0,0.4125956449189422,,0.14130434782608695,不显著
,总体正确RT(ms),运动员,非运动员低心率,24,22,475.8554998942311,477.295676722746,255.0,0.8517274457364402,,-0.03409090909090909,不显著
,总体正确RT(ms),非运动员高心率,非运动员低心率,23,22,459.0852146987713,477.295676722746,220.0,0.4605521931329134,,-0.13043478260869565,不显著
,一致条件正确RT(ms),运动员,非运动员高心率,24,23,463.9392361111111,445.0273550724637,297.0,0.6626415911148368,,0.07608695652173914,不显著
,一致条件正确RT(ms),运动员,非运动员低心率,24,22,463.9392361111111,460.6505681818182,253.0,0.8173965803216421,,-0.041666666666666664,不显著
,一致条件正确RT(ms),非运动员高心率,非运动员低心率,23,22,445.0273550724637,460.6505681818182,218.0,0.43342193095607373,,-0.1383399209486166,不显著
,不一致条件正确RT(ms),运动员,非运动员高心率,24,23,527.0516441891442,507.6319816053511,320.0,0.35458034716422326,,0.15942028985507245,不显著
,不一致条件正确RT(ms),运动员,非运动员低心率,24,22,527.0516441891442,535.4598755411255,254.0,0.8345225873151004,,-0.03787878787878788,不显著
,不一致条件正确RT(ms),非运动员高心率,非运动员低心率,23,22,507.6319816053511,535.4598755411255,219.0,0.44686992823951666,,-0.13438735177865613,不显著
,中性条件正确RT(ms),运动员,非运动员高心率,24,23,439.70868055555553,427.75815217391306,312.0,0.44994182770426017,,0.13043478260869565,不显著
,中性条件正确RT(ms),运动员,非运动员低心率,24,22,439.70868055555553,440.18863636363636,266.0,0.9736865794748071,,0.007575757575757576,不显著
,中性条件正确RT(ms),非运动员高心率,非运动员低心率,23,22,427.75815217391306,440.18863636363636,219.0,0.4468549589881653,,-0.13438735177865613,不显著
,Flanker冲突RT代价(ms),运动员,非运动员高心率,24,23,63.11240807803307,62.6046265328874,297.0,0.6626415911148368,,0.07608695652173914,不显著
,Flanker冲突RT代价(ms),运动员,非运动员低心率,24,22,63.11240807803307,74.80930735930737,240.5,0.6130075770208177,,-0.08901515151515152,不显著
,Flanker冲突RT代价(ms),非运动员高心率,非运动员低心率,23,22,62.6046265328874,74.80930735930737,212.0,0.35779011832806207,,-0.16205533596837945,不显著
