hr3,metric,n,mean,sd,median,min,max
运动员,accuracy_rate,24,0.9791087962962962,0.024575294704518195,0.9791666666666666,0.8958333333333334,1.0
运动员,flanker_interference_rt_ms,24,63.11240807803307,43.6332866852008,62.56041666666664,-79.63636363636363,144.5958333333333
运动员,mean_rt_correct_congruent_ms,24,463.9392361111111,86.68197370325382,436.125,368.5625,776.0
运动员,mean_rt_correct_incongruent_ms,24,527.0516441891442,65.69621240077474,515.4625,439.0,696.3636363636364
运动员,mean_rt_correct_ms,24,475.8554998942311,66.67369154310614,462.7774621212121,389.6444444444445,683.5813953488372
运动员,mean_rt_correct_neutral_ms,24,439.70868055555553,55.3519944075943,432.75,359.0,582.375
非运动员低心率,accuracy_rate,22,0.9734244036105738,0.02966831506043412,0.9791666666666666,0.875,1.0
非运动员低心率,flanker_interference_rt_ms,22,74.80930735930737,36.62903769237984,63.71875,28.180952380952363,161.3416666666667
非运动员低心率,mean_rt_correct_congruent_ms,22,460.6505681818182,65.62235126042184,460.5770833333333,388.8125,668.6875
非运动员低心率,mean_rt_correct_incongruent_ms,22,535.4598755411255,81.89303236079452,521.6875,420.7142857142857,733.9375
非运动员低心率,mean_rt_correct_ms,22,477.29567672274607,65.92740408677443,472.4554521276596,393.4090909090909,671.2916666666666
非运动员低心率,mean_rt_correct_neutral_ms,22,440.18863636363636,55.52862101316201,424.3125,368.8,611.25
非运动员高心率,accuracy_rate,23,0.9782608695652174,0.02033326043745976,0.9791666666666666,0.9375,1.0
非运动员高心率,flanker_interference_rt_ms,23,62.6046265328874,27.718283540158673,60.60714285714283,20.375,130.64166666666665
非运动员高心率,mean_rt_correct_congruent_ms,23,445.0273550724637,49.747401711026505,434.75,375.625,550.9375
非运动员高心率,mean_rt_correct_incongruent_ms,23,507.6319816053512,48.84677808310092,506.26666666666665,431.2857142857143,608.9375
非运动员高心率,mean_rt_correct_ms,23,459.0852146987715,47.011165984756566,454.39130434782606,400.2708333333333,559.625
非运动员高心率,mean_rt_correct_neutral_ms,23,427.75815217391306,46.828466692143074,419.875,373.125,540.625
