条件,指标,n运动员,n高心率,n低心率,Kruskal_H,原始p,标注
前测 / 普通,NoGo误按率,24,23,22,0.4078282828283357,0.8155323886390389,不显著
前测 / 普通,SART d′,24,23,22,0.07127141442020074,0.9649917690029974,不显著
前测 / 普通,Go漏按率,24,23,22,2.2479338842974608,0.32498802543429817,不显著
前测 / 普通,正确Go RT CoV,24,23,22,1.6177170025941052,0.4453661610681624,不显著
前测 / 普通,正确Go RT(ms),24,23,22,2.476311999279858,0.2899183348456651,不显著
前测 / 黄色捕获,NoGo误按率,24,23,22,0.9593853351617427,0.618973593228896,不显著
前测 / 黄色捕获,SART d′,24,23,22,0.5876873279999147,0.7453930140969922,不显著
前测 / 黄色捕获,Go漏按率,24,23,22,1.0841248303932218,0.5815476220471898,不显著
前测 / 黄色捕获,正确Go RT CoV,24,23,22,5.156793427114792,0.07589558889784322,趋势
前测 / 黄色捕获,正确Go RT(ms),24,23,22,3.0183143924501112,0.2210962402029608,不显著
后测 / 普通,NoGo误按率,23,23,22,0.3165051638404191,0.8536341421854834,不显著
后测 / 普通,SART d′,23,23,22,0.3165051638404191,0.8536341421854834,不显著
后测 / 普通,Go漏按率,23,23,22,inf,0.0,显著
后测 / 普通,正确Go RT CoV,23,23,22,6.958957977416816,0.030823466223868605,显著
后测 / 普通,正确Go RT(ms),23,23,22,3.677015984928812,0.159054559762066,不显著
后测 / 黄色捕获,NoGo误按率,23,23,22,3.0408886465857936,0.21861472975261032,不显著
后测 / 黄色捕获,SART d′,23,23,22,3.0408886465857936,0.21861472975261032,不显著
后测 / 黄色捕获,Go漏按率,23,23,22,inf,0.0,显著
后测 / 黄色捕获,正确Go RT CoV,23,23,22,4.394599840279824,0.11110274000383391,不显著
后测 / 黄色捕获,正确Go RT(ms),23,23,22,2.6827002334785797,0.26149238490083415,不显著
