条件,指标,组别A,组别B,nA,nB,均值A,均值B,MW_U,原始p,Cliffs_delta,标注
前测 / 普通,NoGo误按率,运动员,非运动员高心率,24,23,0.20833333333333334,0.17391304347826086,285.5,0.7787290045873427,0.034420289855072464,不显著
前测 / 普通,NoGo误按率,运动员,非运动员低心率,24,22,0.20833333333333334,0.13636363636363635,283.0,0.5355748871413412,0.07196969696969698,不显著
前测 / 普通,NoGo误按率,非运动员高心率,非运动员低心率,23,22,0.17391304347826086,0.13636363636363635,262.5,0.7448413746255252,0.037549407114624504,不显著
前测 / 普通,SART d′,运动员,非运动员高心率,24,23,2.592708853579657,2.6084661949246164,276.0,1.0,0.0,不显著
前测 / 普通,SART d′,运动员,非运动员低心率,24,22,2.592708853579657,2.6256560218463894,257.0,0.8359230289773889,-0.026515151515151516,不显著
前测 / 普通,SART d′,非运动员高心率,非运动员低心率,23,22,2.6084661949246164,2.6256560218463894,245.5,0.8196119701032272,-0.029644268774703556,不显著
前测 / 普通,Go漏按率,运动员,非运动员高心率,24,23,0.0,0.002717391304347826,264.0,0.3276071507622488,-0.043478260869565216,不显著
前测 / 普通,Go漏按率,运动员,非运动员低心率,24,22,0.0,0.005681818181818182,240.0,0.14355819348033166,-0.09090909090909091,不显著
前测 / 普通,Go漏按率,非运动员高心率,非运动员低心率,23,22,0.002717391304347826,0.005681818181818182,241.0,0.5456987297622542,-0.04743083003952569,不显著
前测 / 普通,正确Go RT CoV,运动员,非运动员高心率,24,23,0.156503644348698,0.16836491273411805,251.0,0.6020918949814629,-0.09057971014492754,不显著
前测 / 普通,正确Go RT CoV,运动员,非运动员低心率,24,22,0.156503644348698,0.18708214713961924,207.0,0.21407663267226285,-0.2159090909090909,不显著
前测 / 普通,正确Go RT CoV,非运动员高心率,非运动员低心率,23,22,0.16836491273411805,0.18708214713961924,220.0,0.4605521931329134,-0.13043478260869565,不显著
前测 / 普通,正确Go RT(ms),运动员,非运动员高心率,24,23,453.8229166666667,464.03695652173917,264.0,0.8066606559445169,-0.043478260869565216,不显著
前测 / 普通,正确Go RT(ms),运动员,非运动员低心率,24,22,453.8229166666667,485.70946969696973,199.0,0.1560876198382292,-0.24621212121212122,不显著
前测 / 普通,正确Go RT(ms),非运动员高心率,非运动员低心率,23,22,464.03695652173917,485.70946969696973,197.0,0.2076077334369918,-0.22134387351778656,不显著
前测 / 黄色捕获,NoGo误按率,运动员,非运动员高心率,24,23,0.049999999999999996,0.05217391304347826,282.0,0.8735887342867756,0.021739130434782608,不显著
前测 / 黄色捕获,NoGo误按率,运动员,非运动员低心率,24,22,0.049999999999999996,0.02727272727272728,294.0,0.34522830019509054,0.11363636363636363,不显著
前测 / 黄色捕获,NoGo误按率,非运动员高心率,非运动员低心率,23,22,0.05217391304347826,0.02727272727272728,275.0,0.4620556756032892,0.08695652173913043,不显著
前测 / 黄色捕获,SART d′,运动员,非运动员高心率,24,23,3.0745599751204016,3.047001960948484,279.0,0.9441922750042048,0.010869565217391304,不显著
前测 / 黄色捕获,SART d′,运动员,非运动员低心率,24,22,3.0745599751204016,3.1322247315205938,243.0,0.5292596326853738,-0.07954545454545454,不显著
前测 / 黄色捕获,SART d′,非运动员高心率,非运动员低心率,23,22,3.047001960948484,3.1322247315205938,230.5,0.4909303567199884,-0.08893280632411067,不显著
前测 / 黄色捕获,Go漏按率,运动员,非运动员高心率,24,23,0.0,0.005434782608695652,264.0,0.3276071507622488,-0.043478260869565216,不显著
前测 / 黄色捕获,Go漏按率,运动员,非运动员低心率,24,22,0.0,0.005681818181818182,252.0,0.31685266354033126,-0.045454545454545456,不显著
前测 / 黄色捕获,Go漏按率,非运动员高心率,非运动员低心率,23,22,0.005434782608695652,0.005681818181818182,252.5,1.0,-0.001976284584980237,不显著
前测 / 黄色捕获,正确Go RT CoV,运动员,非运动员高心率,24,23,0.14549271953007195,0.1736848874672611,205.0,0.13352644740886185,-0.2572463768115942,不显著
前测 / 黄色捕获,正确Go RT CoV,运动员,非运动员低心率,24,22,0.14549271953007195,0.18654576013026222,159.0,0.021564500001669665,-0.3977272727272727,显著
前测 / 黄色捕获,正确Go RT CoV,非运动员高心率,非运动员低心率,23,22,0.1736848874672611,0.18654576013026222,239.0,0.7592026289738629,-0.05533596837944664,不显著
前测 / 黄色捕获,正确Go RT(ms),运动员,非运动员高心率,24,23,459.1666666666667,469.96972049689447,250.5,0.5946908723928861,-0.09239130434782608,不显著
前测 / 黄色捕获,正确Go RT(ms),运动员,非运动员低心率,24,22,459.1666666666667,497.349025974026,194.0,0.12643726274574837,-0.26515151515151514,不显著
前测 / 黄色捕获,正确Go RT(ms),非运动员高心率,非运动员低心率,23,22,469.96972049689447,497.349025974026,192.0,0.1695349104169095,-0.24110671936758893,不显著
后测 / 普通,NoGo误按率,运动员,非运动员高心率,23,23,0.0782608695652174,0.09565217391304351,243.5,0.5915726004145524,-0.07939508506616257,不显著
后测 / 普通,NoGo误按率,运动员,非运动员低心率,23,22,0.0782608695652174,0.09090909090909093,239.0,0.7118630704153308,-0.05533596837944664,不显著
