block,hr3,ans,n,ratio
1,运动员,A,41,0.1553030303030303
1,运动员,B,51,0.19318181818181818
1,运动员,C,126,0.4772727272727273
1,运动员,D,46,0.17424242424242425
1,非运动员低心率,A,64,0.2644628099173554
1,非运动员低心率,B,72,0.2975206611570248
1,非运动员低心率,C,67,0.2768595041322314
1,非运动员低心率,D,39,0.16115702479338842
1,非运动员高心率,A,56,0.22134387351778656
1,非运动员高心率,B,65,0.25691699604743085
1,非运动员高心率,C,86,0.33992094861660077
1,非运动员高心率,D,46,0.18181818181818182
2,运动员,A,9,0.20454545454545456
2,运动员,B,10,0.22727272727272727
2,运动员,C,10,0.22727272727272727
2,运动员,D,15,0.3409090909090909
2,非运动员低心率,A,11,0.2
2,非运动员低心率,B,14,0.2545454545454545
2,非运动员低心率,C,9,0.16363636363636364
2,非运动员低心率,D,21,0.38181818181818183
2,非运动员高心率,A,10,0.22727272727272727
2,非运动员高心率,B,18,0.4090909090909091
2,非运动员高心率,C,6,0.13636363636363635
2,非运动员高心率,D,10,0.22727272727272727
